Gabriel Î±,Bozja,Southern Front Lockbox
Construct 14,Bozja,180 Bozjan Clusters
Megalotragus,Skybuilders,8,400 Skybuilders' Scrips
Incitatus,Purchase,600 Faux Leaves
Incitatus,Purchase,1 Khloe's Gold Certificate of Commendation
Ehll Tou,Quest,On Ehll Tou's Wings
Magitek Hyperconveyor,Feast,Season 16
Jibanyan Couch,Event,Yo-kai Watch Collaboration - Acquire 17 Yo-kai Weapons
Gwiber Of Light,Trial,The Seat of Sacrifice (Extreme)
Rolling Tankard,Beast Tribe,18 Hammered Frogments
Chocobo Carriage,Premium,Mog Station
Pteranodon,Achievement,Castle In The Sky
Albino Karakul,Skybuilders,8,400 Skybuilders' Scrips
Dhalmel,Skybuilders,Kupo of Fortune
Rubellite Carbuncle,Premium,Mog Station
Ramuh,Raid,Eden's Verse: Refulgence (Savage)
Hybodus,Achievement,No More Fish In The Sea II
Ruby Gwiber,Trial,Cinder Drift (Extreme)
Great Vessel Of Ronka,Beast Tribe,Yuqurl Manl - The Rak'tika Greatwood - 18 Qitari Compliments
Kingly Peacock,Premium,Mog Station
Spriggan Stonecarrier,Premium,Mog Station
Menoetius,Feast,Season 15
Epimetheus,Feast,Season 14
Construct VII,Achievement,One Steppe At A Time V
Morbol,Achievement,True Blue
Ufiti,Skybuilders,8,400 Skybuilders' Scrips
Forgiven Reticence,Purchase,3,200 Sacks of Nuts
Shadow Gwiber,Trial,The Minstrel's Ballad: Hades's Elegy
Portly Porxie,Beast Tribe,Jul Oul - Il Mheg - 18 Fae Fancy
Magicked Bed,Crafting,Crafted by Carpenter
Skyslipper,Raid,Eden's Gate: Sepulture (Savage)
Battle Tiger,Achievement,Tank You, Gunbreaker III
Amaro,Achievement,A Life Of Adventure IV
Sunspun Cumulus,Premium,Mog Station
Circus Ahriman,Event,All Saints' Wake (2019)
Circus Ahriman,Premium,Mog Station
Innocent Gwiber,Trial,The Crown of the Immaculate (Extreme)
Ironfrog Mover,FATE,Fathard - Eulmore - 12 Formidable Cog (FATE "A Finale Most Formidable")
Triceratops,Achievement,Nuts For Nutsy
Fae Gwiber,Trial,The Dancing Plague (Extreme)
War Tiger,Achievement,Tank You, Gunbreaker II
Grani,Premium,Shadowbringers Collector's Edition
Demi-Ozma,Achievement,We're On Your Side I
Magitek Avenger A-1,Achievement,Out Of Hiding
Eurekan Petrel,Eureka,Happy Bunny Lockbox - Eureka Hydatos
Regalia Type-G,Event,Final Fantasy XV Collaboration
Hallowed Kamuy,Trial,The Wreath Of Snakes (Extreme)
Kamuy Of The Nine Tails,Quest,A Lone Wolf No More
Sabotender Emperador,Purchase,2,000,000 MGP
Maxima Roader,Feast,Season 12
Magicked Carpet,Premium,Mog Station
Eldthurs,Eureka,Happy Bunny Lockbox - Eureka Pyros
Fat Black Chocobo,Premium,In-Game Item Campaign
Magna Roader,Feast,Season 11
Fatter Cat,Premium,Mog Station
Magitek Sky Armor,Purchase,20,000 Wolf Marks
Model O,Raid,Alphascape V4.0 (Savage)
Euphonious Kamuy,Trial,Hells' Kier (Extreme)
SDS Fenrir,Premium,Fan Festival 2018-19
SDS Fenrir,Premium,Mog Station
Indigo Whale,Premium,Mog Station
Typhon,Purchase,750,000 MGP
Rathalos,Trial,The Great Hunt (Extreme)
Juedi,Achievement,Dressed for Heaven
Dodo,Deep Dungeon,Heaven-on-High
Prototype Conveyor,Feast,Season 8
Safeguard System,Achievement,Front And Center V
Mikoshi,Beast Tribe,Gyosho - Dhoro Iloh - 20 Namazu Koban
Magitek Conveyor,Feast,Season 7
Lunar Kamuy,Trial,The Minstrel's Ballad: Tsukuyomi's Pain
Red Hare,Premium,Mog Station
Tyrannosaur,Eureka,Anemos Lockbox
Air Force,Raid,Sigmascape V4.0 (Savage)
Broken Heart (left),Event,Valentione's Day (2018)
Broken Heart (left),Premium,Mog Station
Broken Heart (right),Event,Valentione's Day (2018)
Broken Heart (right),Premium,Mog Station
True Griffin,Beast Tribe,Madhura - Castellum Velodyna - 18 Ananta Dreamstaffs
Marid,Beast Tribe,Madhura - Castellum Velodyna - 18 Ananta Dreamstaffs
Magitek Death Claw,Achievement,Jonathas - Old Gridania - 6 Achievement Certificates
Auspicious Kamuy,Trial,The Jade Stoa (Extreme)
Nezha Chariot,Premium,Mog Station
Citrine Carbuncle,Premium,Mog Station
Aquamarine Carbuncle,Premium,Mog Station
Korpokkur Kolossus,Purchase,750,000 MGP
Magitek Avenger,Achievement,Die Another Day III
Flying Chair,Crafting,Crafted by Alchemist
Striped Ray,Beast Tribe,Shikitahe - Tamamizu - 12 Kojin Sango
Legendary Kamuy,Trial,The Minstrel's Ballad: Shinryu's Domain
Starlight Bear,Premium,Mog Station
Starlight Bear,Event,Starlight Stakeout
Mystic Panda,Premium,Mog Station
Managarm,Premium,Calamity Salvager - 8 Gold Chocobo Feathers (Recruit a Friend Campaign)
Falcon,Limited,Fly the Falcon Mount Campaign
Alte Roite,Raid,Deltascape V4.0 (Savage)
Ixion,FATE,Eschina - Rhalgr's Reach - 12 Ixion Horns (FATE "A Horse Outside")
Syldra,Premium,Stormblood Collector's Edition
Centurio Tiger,Achievement,You Got Game
Yol,Quest,In The Footsteps Of Bardam The Brave
Battle Panther,Achievement,Tank You, Dark Knight III
Battle Bear,Achievement,Tank You, Warrior III
Battle Lion,Achievement,Tank You, Paladin III
Magitek Predator,Dungeon,Ala Mhigo
Reveling Kamuy,Trial,The Pool Of Tribute (Extreme)
Blissful Kamuy,Trial,Emanation (Extreme)
Lone Faehound,Feast,Season 4
Pack Faehound,Feast,Season 4
Pack Hellhound,Feast,Season 3
Lone Hellhound,Feast,Season 3
Archon Throne,Purchase,750,000 MGP
Eggshilaration System,Premium,Mog Station
Eggshilaration System,Event,Eggsistential Crisis
Raigo,Event,GARO Collaboration
Firebird,Quest,Fiery Wings, Fiery Hearts
Demonic Lanner,Trial,Containment Bay Z1T9 (Extreme)
Ginga,Event,GARO Collaboration
Goten,Event,GARO Collaboration
Flying Cumulus,Limited,In-Game Item Campaign
Arrhidaeus,Raid,Alexander - The Soul Of The Creator (Savage)
Black Pegasus,Deep Dungeon,The Palace of the Dead
Sophic Lanner,Trial,Containment Bay P1T6 (Extreme)
Whisper A-go-go,Event,Yo-kai Watch Collaboration - Acquire 13 Yo-kai Weapons
Disembodied Head,Deep Dungeon,E-Una-Kotor - Quarrymill - 10 Gelmorran Potsherds
Whisper-go,Event,Yo-kai Watch Collaboration - Acquire 13 Yo-kai Minions
Fat Moogle,Premium,Mog Station
Aerodynamics System,Achievement,In A Blaze Of Glory V
Dark Lanner,Trial,The Minstrel's Ballad: Nidhogg's Rage
Cloud Mallow,Beast Tribe,Mogmul Mogbelly - Bahrr Lehs - 200,000 Gil
Astrope,Achievement,I Hope Mentor Will Notice Me VI
Bennu,Premium,Mog Station
Original Fat Chocobo,Limited,In-Game Item Campaign
Gloria-class Airship,Achievement,You Are What You Eat IV
Warring Lanner,Trial,Containment Bay S1T7 (Extreme)
Round Lanner,Trial,The Minstrel's Ballad: Thordan's Reign
Rose Lanner,Trial,Thok Ast Thok (Extreme)
White Lanner,Trial,The Limitless Blue (Extreme)
Zu,Purchase,Spoils Collector - 1 Iron Voyage Spoil
Kongamato,Beast Tribe,Vath Stickpeddler - Loth ast Vath - 200,000 Gil
Wyvern,Purchase,Bertana - Idyllshire - 6 Clan Mark Logs
Red Baron,Premium,Mog Station
White Devil,Premium,Mog Station
Pegasus,Skybuilders,4200 Skybuilders' Scrips
Sanuwa,Beast Tribe,Luna Vanu - Ok' Gundu Nakki - 200,000 Gil
Witch's Broom,Premium,Mog Station
Witch's Broom,Event,Sweeping The Meadows
Gobwalker,Raid,Alexander - The Burden Of The Father (Savage)
Twintania,Premium,Calamity Salvager - 15 Gold Chocobo Feathers (Recruit a Friend Campaign)
Amber Draught Chocobo,Premium,Calamity Salvager - 8 Gold Chocobo Feathers (Recruit a Friend Campaign)
Black Chocobo,Quest,Divine Intervention
War Panther,Achievement,But Somebody's Gotta Do It (Dark Knight)
Manacutter,Quest,Into The Aery
Griffin,Premium,Heavensward Collector's Edition
Midgardsormr,Quest,Fetters Of Lament
Fenrir,Purchase,1,000,000 MGP
Adamantoise,Purchase,200,000 MGP
Logistics System,Achievement,Behind Enemy Lines I
Kirin,Quest,A Legend For A Legend
Ceremony Chocobo,Quest,The Ties That Bind
Parade Chocobo,Achievement,Leaving A Better Impression II
Boreas,Trial,Akh Afah Amphitheatre (Extreme)
Sleipnir,Premium,Mog Station
Direwolf,Beast Tribe,Ixali Vendor - Ehcatl - 120,000 Gil
Markab,Trial,The Striking Tree (Extreme)
Flame Warsteed,Achievement,A Line In The Sand IV
Serpent Warsteed,Achievement,A Line In The Glade IV
Storm Warsteed,Achievement,A Line In The Storm IV
Draught Chocobo,Premium,Recruit a Friend Campaign reward
Warbear,Achievement,But Somebody's Gotta Do It (Warrior)
Warlion,Achievement,But Somebody's Gotta Do It (Paladin)
Enbarr,Trial,The Whorleater (Extreme)
Gullfaxi,Trial,The Navel (Extreme)
Xanthos,Trial,The Howling Eye (Extreme)
Aithon,Trial,The Bowl Of Embers (Extreme)
Bomb Palanquin,Beast Tribe,Kobold Vendor - 789th Order Dig - 120,000 Gil
Cavalry Elbst,Beast Tribe,Sahagin Vendor - Novv's Nursery - 120,000 Gil
Fat Chocobo,Premium,A Realm Reborn Collector's Edition
Nightmare,Trial,The Bowl Of Embers (Extreme)
Nightmare,Trial,The Howling Eye (Extreme)
Nightmare,Trial,The Navel (Extreme)
Gilded Magitek Armor,Achievement,Everybody's Darling
Laurel Goobbue,Beast Tribe,Sylphic Vendor - Little Solace - 120,000 Gil
Cavalry Drake,Beast Tribe,Amalj'aa Vendor - Ring of Ash - 120,000 Gil
Behemoth,Achievement,Jonathas - Old Gridania - 6 Achievement Certificates
Unicorn,Quest,Unicorn Power
Ahriman,Achievement,Jonathas - Old Gridania - 6 Achievement Certificates
Coeurl,Premium,A Realm Reborn Collector's Edition
Magitek Armor,Quest,The Ultimate Weapon
Legacy Chocobo,Limited,Legacy Campaign
Goobbue,Limited,At level 30 or above, speak with the Wandering Minstrel in Eastern La Noscea (1.0)
Company Chocobo,Quest,My Little Chocobo (Immortal Flames)
Company Chocobo,Quest,My Little Chocobo (Maelstrom)
Company Chocobo,Quest,My Little Chocobo (Twin Adder)